Tiempo				Temperatura(C)		Altitud(M)		Presión(PSI)		Inclinación(G)
2009 01 20::12:45:40:160	-107.01046		16.62723		-12841.85581*		0.974
2009 01 20::12:45:44:629	-90.27627		13769.92309		59.37458		6.409
2009 01 20::12:45:44:660	-42.99942		9017.74056		58.79048		9.599
2009 01 20::12:45:44:879	-88.07993		13947.87581		60.85111		6.757
2009 01 20::12:45:44:910	-38.55404		9055.73171		58.92965		9.872
2009 01 20::12:45:45:129	-86.21838		14346.51177		62.19545		7.78
2009 01 20::12:45:45:160	-36.60993		9352.22783		59.53525		9.907
2009 01 20::12:45:45:379	-85.86835		14923.67064		62.97866		8.573
2009 01 20::12:45:45:410	-35.73177		9463.65085		59.89045		8.641*
2009 01 20::12:45:45:629	-82.28616		15184.50945		63.49149		8.708
2009 01 20::12:45:45:660	-31.53307		9768.24089		60.73088		8.821*
2009 01 20::12:45:45:879	-78.51817		15944.30357		64.79866		8.935
2009 01 20::12:45:45:910	-27.95613		10002.42333		64.79866*		8.935*
2009 01 20::12:45:46:129	-75.76943		16166.06011		64.79866*		8.935*
2009 01 20::12:45:46:160	-25.59762		10741.0346		64.79866*		8.935*
2009 01 20::12:45:46:379	-75.2011		17097.48242		64.79866*		8.935*
2009 01 20::12:45:46:410	-24.49887		10982.16495		64.79866*		8.935*
2009 01 20::12:45:46:629	-73.45828		18468.99964		64.79866*		8.935*
2009 01 20::12:45:46:660	-21.13326		11499.75991		64.79866*		8.935*
2009 01 20::12:45:46:879	-72.47012		19324.5321		64.79866*		8.935*
2009 01 20::12:45:46:910	-20.06617		12284.75044		64.79866*		8.935*
2009 01 20::12:45:47:129	-69.14067		20366.50406		64.79866*		8.935*
2009 01 20::12:45:47:160	-18.67826		13206.19265		64.79866*		8.935*
2009 01 20::12:45:47:379	-68.35893		20538.06446		64.79866*		8.935*
2009 01 20::12:45:47:410	-18.17054		13398.91273		64.79866*		8.935*
2009 01 20::12:45:47:629	-63.61101		21268.74085		64.79866*		8.935*
2009 01 20::12:45:47:660	-16.81951		13825.56423		64.79866*		8.935*
2009 01 20::12:45:47:879	-59.71263		21485.60119		64.79866*		8.935*
2009 01 20::12:45:47:910	-16.64639		14801.14055		64.79866*		8.935*
2009 01 20::12:45:48:129	-53.46308		21868.07818		64.79866*		8.935*
2009 01 20::12:45:48:160	-13.01329		15657.19005		64.79866*		8.935*
2009 01 20::12:45:48:379	-49.2189		21992.80439		64.79866*		8.935*
2009 01 20::12:45:48:410	-12.8422		15797.72268		64.79866*		8.935*
2009 01 20::12:45:48:629	-48.20843		22596.03849		64.79866*		8.935*
2009 01 20::12:45:48:660	-11.22789		15937.48601		64.79866*		8.935*
2009 01 20::12:45:48:879	-44.7463		23422.95563		64.79866*		8.935*
2009 01 20::12:45:48:910	-6.9983		16843.84605		64.79866*		8.935*
2009 01 20::12:45:49:129	-43.55775		24209.09798		64.79866*		8.935*
2009 01 20::12:45:49:160	-1.2285		17818.93825		64.79866*		8.935*
2009 01 20::12:45:49:379	-40.92783		24285.91706		64.79866*		8.935*
2009 01 20::12:45:49:410	2.8863		18989.13072		64.79866*		8.935*
2009 01 20::12:45:49:629	-39.11138		24694.44989		64.79866*		8.935*
2009 01 20::12:45:49:660	3.24156		20928.92622		64.79866*		8.935*
2009 01 20::12:45:49:879	-38.30051		25176.45558		64.79866*		8.935*
2009 01 20::12:45:49:910	10.34564		21143.61887		64.79866*		8.935*
2009 01 20::12:45:50:129	-36.53961		26325.08842		64.79866*		8.935*
2009 01 20::12:45:50:160	10.35624		21698.3606		64.79866*		8.935*
2009 01 20::12:45:50:379	-31.33536		26424.82694		64.79866*		8.935*
2009 01 20::12:45:50:410	10.59146		22233.27035		64.79866*		8.935*
2009 01 20::12:45:50:629	-21.73762		26464.68547		64.79866*		8.935*
2009 01 20::12:45:50:660	16.86142		24220.7616		64.79866*		8.935*
2009 01 20::12:45:50:879	-21.57033		26516.84048		64.79866*		8.935*
2009 01 20::12:45:50:910	17.13624		24356.17657		64.79866*		8.935*
2009 01 20::12:45:51:129	-19.38796		26715.87084		64.79866*		8.935*
2009 01 20::12:45:51:160	17.32631		25168.37726		64.79866*		8.935*
2009 01 20::12:45:51:395	-14.37636		26873.80984		64.79866*		8.935*
2009 01 20::12:45:51:410	17.68046		25455.48402		64.79866*		8.935*
2009 01 20::12:45:51:645	-6.55327		27269.26165		64.79866*		8.935*
2009 01 20::12:45:51:660	18.82434		27023.45972		64.79866*		8.935*
2009 01 20::12:45:51:895	-3.37199		27737.07757		64.79866*		8.935*
2009 01 20::12:45:51:910	19.23649		27442.90618		64.79866*		8.935*
2009 01 20::12:45:52:145	-3.09359		28805.08118		64.79866*		8.935*
2009 01 20::12:45:52:160	24.26601		28578.67501		64.79866*		8.935*
2009 01 20::12:45:52:395	4.783		28828.21457		64.79866*		8.935*
2009 01 20::12:45:52:410	24.36868		28848.91809		64.79866*		8.935*
2009 01 20::12:45:52:645	6.36041		29829.45114		64.79866*		8.935*
2009 01 20::12:45:52:895	6.83718		29990.4434		64.79866*		8.935*
2009 01 20::12:45:53:145	20.08661		30192.24496		64.79866*		8.935*
2009 01 20::12:45:53:395	21.5639		30263.59797		64.79866*		8.935*
